%% File generated by CATS v.2.1Fri May 15 12:39:12 2026

%% The CATS webpage is http://robotics.stanford.edu/CATS

%% PARAMETER SETTINGS:
% Goods: 32; Bids: 100; Distribution: matching; Runs: 1; Seed: 3
% Matching Distribution Parameters:
% Max airport price       = 5
% Early takeoff deviation = 1
% Late takeoff deviation  = 2
% Early landing deviation = 1
% Late landing deviation  = 2
% Deviation               = 0.500000
% Delay coefficient       = 0.900000
% Amount late coefficient = 0.750000



goods 32
bids 103
dummy 29

0	8265	0	25	32	#
1	7438	0	29	32	#
2	8265	4	29	32	#
3	10799	1	11	33	#
4	7289	1	15	33	#
5	6560	1	19	33	#
6	5904	1	23	33	#
7	8099	5	15	33	#
8	7289	5	19	33	#
9	6560	5	23	33	#
10	8099	9	19	33	#
11	7289	9	23	33	#
12	8099	13	23	33	#
13	7524	17	27	34	#
14	5079	17	31	34	#
15	5643	21	31	34	#
16	6749	19	25	42	#
17	4544	13	23	36	#
18	3067	13	27	36	#
19	2761	13	31	36	#
20	3408	17	27	36	#
21	3067	17	31	36	#
22	3408	21	31	36	#
23	4985	0	31	#
24	6035	1	11	39	#
25	5431	1	15	39	#
26	4888	1	19	39	#
27	6035	5	15	39	#
28	5431	5	19	39	#
29	6035	9	19	39	#
30	5559	0	30	#
31	8998	7	13	42	#
32	6074	7	17	42	#
33	5466	7	21	42	#
34	4920	7	25	42	#
35	6749	11	17	42	#
36	6074	11	21	42	#
37	5466	11	25	42	#
38	6749	15	21	42	#
39	6074	15	25	42	#
40	9578	1	24	43	#
41	6465	1	28	43	#
42	7184	5	28	43	#
43	5680	3	9	44	#
44	5112	3	13	44	#
45	4601	3	17	44	#
46	5680	7	13	44	#
47	5112	7	17	44	#
48	5680	11	17	44	#
49	7499	2	28	#
50	10997	17	27	47	#
51	7423	17	31	47	#
52	8248	21	31	47	#
53	4687	7	13	51	#
54	3164	7	17	51	#
55	2847	7	21	51	#
56	2563	7	25	51	#
57	3515	11	17	51	#
58	3164	11	21	51	#
59	2847	11	25	51	#
60	3515	15	21	51	#
61	3164	15	25	51	#
62	3515	19	25	51	#
63	8390	9	18	52	#
64	5664	9	22	52	#
65	5097	9	26	52	#
66	4587	9	30	52	#
67	6293	13	22	52	#
68	5664	13	26	52	#
69	5097	13	30	52	#
70	6293	17	26	52	#
71	5664	17	30	52	#
72	6293	21	30	52	#
73	7691	3	28	#
74	15870	1	24	55	#
75	10712	1	28	55	#
76	11902	5	28	55	#
77	4881	6	13	56	#
78	3294	6	17	56	#
79	2965	6	21	56	#
80	2668	6	25	56	#
81	3660	10	17	56	#
82	3294	10	21	56	#
83	2965	10	25	56	#
84	3660	14	21	56	#
85	3294	14	25	56	#
86	3660	18	25	56	#
87	4856	0	25	57	#
88	4370	0	29	57	#
89	4856	4	29	57	#
90	11305	19	25	58	#
91	7631	19	29	58	#
92	8478	23	29	58	#
93	8219	5	14	60	#
94	5548	5	18	60	#
95	4993	5	22	60	#
96	4494	5	26	60	#
97	6164	9	18	60	#
98	5548	9	22	60	#
99	4993	9	26	60	#
100	6164	13	22	60	#
101	5548	13	26	60	#
102	6164	17	26	60	#
