%% File generated by CATS v.2.1Fri May 15 12:39:12 2026

%% The CATS webpage is http://robotics.stanford.edu/CATS

%% PARAMETER SETTINGS:
% Goods: 32; Bids: 100; Distribution: matching; Runs: 1; Seed: 2
% Matching Distribution Parameters:
% Max airport price       = 5
% Early takeoff deviation = 1
% Late takeoff deviation  = 2
% Early landing deviation = 1
% Late landing deviation  = 2
% Deviation               = 0.500000
% Delay coefficient       = 0.900000
% Amount late coefficient = 0.750000



goods 32
bids 108
dummy 24

0	7122	5	15	32	#
1	4807	5	19	32	#
2	4327	5	23	32	#
3	3894	5	27	32	#
4	5341	9	19	32	#
5	4807	9	23	32	#
6	4327	9	27	32	#
7	5341	13	23	32	#
8	4807	13	27	32	#
9	5341	17	27	32	#
10	8280	11	17	33	#
11	5589	11	21	33	#
12	5030	11	25	33	#
13	4527	11	29	33	#
14	6210	15	21	33	#
15	5589	15	25	33	#
16	5030	15	29	33	#
17	6210	19	25	33	#
18	5589	19	29	33	#
19	6210	23	29	33	#
20	7360	0	25	34	#
21	4968	0	29	34	#
22	5520	4	29	34	#
23	3272	22	29	47	#
24	4987	3	9	36	#
25	4488	3	13	36	#
26	4039	3	17	36	#
27	4987	7	13	36	#
28	4488	7	17	36	#
29	4987	11	17	36	#
30	11968	0	31	#
31	5428	7	13	38	#
32	3664	7	17	38	#
33	3298	7	21	38	#
34	2968	7	25	38	#
35	4071	11	17	38	#
36	3664	11	21	38	#
37	3298	11	25	38	#
38	4071	15	21	38	#
39	3664	15	25	38	#
40	4071	19	25	38	#
41	4990	1	24	39	#
42	3368	1	28	39	#
43	3742	5	28	39	#
44	5464	19	25	55	#
45	3673	2	9	41	#
46	2479	2	13	41	#
47	2231	2	17	41	#
48	2008	2	21	41	#
49	2755	6	13	41	#
50	2479	6	17	41	#
51	2231	6	21	41	#
52	2755	10	17	41	#
53	2479	10	21	41	#
54	2755	14	21	41	#
55	5137	11	17	42	#
56	3467	11	21	42	#
57	3120	11	25	42	#
58	2808	11	29	42	#
59	3852	15	21	42	#
60	3467	15	25	42	#
61	3120	15	29	42	#
62	3852	19	25	42	#
63	3467	19	29	42	#
64	3852	23	29	42	#
65	2686	0	25	43	#
66	2417	0	29	43	#
67	2686	4	29	43	#
68	5670	3	28	#
69	4097	17	26	51	#
70	4363	18	25	47	#
71	2945	18	29	47	#
72	6413	5	14	48	#
73	4329	5	18	48	#
74	3896	5	22	48	#
75	3506	5	26	48	#
76	4809	9	18	48	#
77	4329	9	22	48	#
78	3896	9	26	48	#
79	4809	13	22	48	#
80	4329	13	26	48	#
81	4809	17	26	48	#
82	2668	2	9	49	#
83	2401	2	13	49	#
84	2161	2	17	49	#
85	2668	6	13	49	#
86	2401	6	17	49	#
87	2668	10	17	49	#
88	10553	0	30	#
89	5463	5	14	51	#
90	3688	5	18	51	#
91	3319	5	22	51	#
92	2987	5	26	51	#
93	4097	9	18	51	#
94	3688	9	22	51	#
95	3319	9	26	51	#
96	4097	13	22	51	#
97	3688	13	26	51	#
98	10942	2	28	#
99	7285	7	13	55	#
100	4917	7	17	55	#
101	4425	7	21	55	#
102	3983	7	25	55	#
103	5464	11	17	55	#
104	4917	11	21	55	#
105	4425	11	25	55	#
106	5464	15	21	55	#
107	4917	15	25	55	#
